transaction_id,date,customer_id,gender,age,product_category,quantity,price_per_unit,total_amount,month,month_number,year,age_group
1,2025-01-01,CUST001,Male,34,Beauty,3,50,150,January,1,2025,26-35
2,2025-01-01,CUST002,Female,26,Clothing,2,500,1000,January,1,2025,26-35
3,2025-01-01,CUST003,Male,50,Electronics,1,30,30,January,1,2025,46+
4,2025-01-02,CUST004,Male,37,Clothing,1,500,500,January,1,2025,36-45
5,2025-01-02,CUST005,Male,30,Beauty,2,50,100,January,1,2025,26-35
6,2025-01-02,CUST006,Female,45,Beauty,1,30,30,January,1,2025,36-45
7,2025-01-02,CUST007,Male,46,Clothing,2,25,50,January,1,2025,46+
8,2025-01-03,CUST008,Male,30,Electronics,4,25,100,January,1,2025,26-35
9,2025-01-04,CUST009,Male,63,Electronics,2,300,600,January,1,2025,46+
10,2025-01-04,CUST010,Female,52,Clothing,4,50,200,January,1,2025,46+
11,2025-01-04,CUST011,Male,23,Clothing,2,50,100,January,1,2025,18-25
12,2025-01-05,CUST009,Male,35,Beauty,3,25,75,January,1,2025,26-35
13,2025-01-05,CUST012,Male,22,Electronics,3,500,1500,January,1,2025,18-25
14,2025-01-05,CUST013,Male,64,Clothing,4,30,120,January,1,2025,46+
15,2025-01-06,CUST014,Female,42,Electronics,4,500,2000,January,1,2025,36-45
16,2025-01-06,CUST015,Male,19,Clothing,3,500,1500,January,1,2025,18-25
17,2025-01-07,CUST016,Female,27,Clothing,4,25,100,January,1,2025,26-35
18,2025-01-07,CUST017,Female,47,Electronics,2,25,50,January,1,2025,46+
19,2025-01-08,CUST018,Female,62,Clothing,2,25,50,January,1,2025,46+
20,2025-01-08,CUST019,Male,22,Clothing,3,300,900,January,1,2025,18-25
21,2025-01-09,CUST020,Female,50,Beauty,1,500,500,January,1,2025,46+
22,2025-01-10,CUST021,Male,18,Clothing,2,50,100,January,1,2025,18-25
23,2025-01-10,CUST022,Female,35,Clothing,4,30,120,January,1,2025,26-35
24,2025-01-11,CUST023,Female,49,Clothing,1,300,300,January,1,2025,46+
25,2025-01-11,CUST018,Female,64,Beauty,1,50,50,January,1,2025,46+
26,2025-01-11,CUST024,Female,28,Electronics,2,500,1000,January,1,2025,26-35
27,2025-01-13,CUST025,Female,38,Beauty,2,25,50,January,1,2025,36-45
28,2025-01-13,CUST026,Female,43,Beauty,1,500,500,January,1,2025,36-45
29,2025-01-13,CUST027,Female,42,Electronics,1,30,30,January,1,2025,36-45
30,2025-01-13,CUST018,Female,39,Beauty,3,300,900,January,1,2025,36-45
31,2025-01-14,CUST028,Male,44,Electronics,4,300,1200,January,1,2025,36-45
32,2025-01-14,CUST029,Male,30,Beauty,3,30,90,January,1,2025,26-35
33,2025-01-14,CUST030,Female,50,Electronics,2,50,100,January,1,2025,46+
34,2025-01-14,CUST031,Female,51,Clothing,3,50,150,January,1,2025,46+
35,2025-01-15,CUST008,Female,58,Beauty,3,300,900,January,1,2025,46+
36,2025-01-15,CUST032,Male,52,Beauty,3,300,900,January,1,2025,46+
37,2025-01-15,CUST009,Female,18,Beauty,3,25,75,January,1,2025,18-25
38,2025-01-16,CUST033,Male,38,Beauty,4,50,200,January,1,2025,36-45
39,2025-01-16,CUST013,Male,23,Clothing,4,30,120,January,1,2025,18-25
40,2025-01-17,CUST034,Male,45,Beauty,1,50,50,January,1,2025,36-45
41,2025-01-17,CUST015,Male,34,Clothing,2,25,50,January,1,2025,26-35
42,2025-01-17,CUST035,Male,22,Clothing,3,300,900,January,1,2025,18-25
43,2025-01-17,CUST018,Female,48,Clothing,1,300,300,January,1,2025,46+
44,2025-01-19,CUST036,Female,22,Clothing,1,25,25,January,1,2025,18-25
45,2025-01-20,CUST026,Female,55,Electronics,1,30,30,January,1,2025,46+
46,2025-01-20,CUST037,Female,20,Electronics,4,300,1200,January,1,2025,18-25
47,2025-01-21,CUST029,Female,40,Beauty,3,500,1500,January,1,2025,36-45
48,2025-01-21,CUST038,Male,54,Electronics,3,300,900,January,1,2025,46+
49,2025-01-21,CUST039,Female,54,Electronics,2,500,1000,January,1,2025,46+
50,2025-01-22,CUST040,Female,27,Beauty,3,25,75,January,1,2025,26-35
51,2025-01-22,CUST041,Male,27,Beauty,3,25,75,January,1,2025,26-35
52,2025-01-23,CUST015,Female,36,Beauty,1,300,300,January,1,2025,36-45
53,2025-01-23,CUST042,Male,34,Electronics,2,50,100,January,1,2025,26-35
54,2025-01-23,CUST018,Female,38,Electronics,3,500,1500,January,1,2025,36-45
55,2025-01-24,CUST043,Male,31,Beauty,4,30,120,January,1,2025,26-35
56,2025-01-24,CUST026,Female,26,Clothing,3,300,900,January,1,2025,26-35
57,2025-01-24,CUST044,Female,63,Beauty,1,30,30,January,1,2025,46+
58,2025-01-25,CUST029,Male,18,Clothing,4,300,1200,January,1,2025,18-25
59,2025-01-26,CUST045,Male,62,Clothing,1,50,50,January,1,2025,46+
60,2025-01-26,CUST031,Male,30,Beauty,3,50,150,January,1,2025,26-35
61,2025-01-26,CUST046,Male,21,Beauty,4,50,200,January,1,2025,18-25
62,2025-01-26,CUST033,Male,18,Beauty,2,50,100,January,1,2025,18-25
63,2025-01-27,CUST003,Male,57,Electronics,2,25,50,January,1,2025,46+
64,2025-01-27,CUST047,Male,49,Clothing,4,25,100,January,1,2025,46+
65,2025-01-27,CUST008,Male,51,Electronics,4,500,2000,January,1,2025,46+
66,2025-01-28,CUST048,Female,45,Electronics,1,30,30,January,1,2025,36-45
67,2025-01-28,CUST009,Female,48,Beauty,4,300,1200,January,1,2025,46+
68,2025-01-28,CUST049,Male,25,Electronics,1,300,300,January,1,2025,18-25
69,2025-01-29,CUST013,Female,56,Beauty,3,25,75,January,1,2025,46+
70,2025-01-30,CUST050,Female,43,Clothing,1,300,300,January,1,2025,36-45
71,2025-01-30,CUST015,Female,51,Beauty,4,25,100,January,1,2025,46+
72,2025-01-30,CUST051,Female,20,Electronics,4,500,2000,January,1,2025,18-25
73,2025-01-30,CUST018,Male,29,Electronics,3,30,90,January,1,2025,26-35
74,2025-01-31,CUST052,Female,18,Beauty,4,500,2000,January,1,2025,18-25
75,2025-01-31,CUST026,Male,61,Beauty,4,50,200,January,1,2025,46+
76,2025-01-31,CUST053,Female,22,Electronics,2,50,100,January,1,2025,18-25
77,2025-02-01,CUST054,Female,47,Clothing,2,50,100,February,2,2025,46+
78,2025-02-01,CUST029,Female,47,Clothing,3,500,1500,February,2,2025,46+
79,2025-02-01,CUST055,Male,34,Beauty,1,300,300,February,2,2025,26-35
80,2025-02-02,CUST031,Female,64,Clothing,2,30,60,February,2,2025,46+
81,2025-02-02,CUST056,Male,40,Electronics,1,50,50,February,2,2025,36-45
82,2025-02-02,CUST033,Female,32,Beauty,4,50,200,February,2,2025,26-35
83,2025-02-03,CUST057,Male,54,Electronics,2,50,100,February,2,2025,46+
84,2025-02-03,CUST045,Female,38,Electronics,3,30,90,February,2,2025,36-45
85,2025-02-04,CUST046,Male,31,Clothing,3,50,150,February,2,2025,26-35
86,2025-02-04,CUST058,Male,19,Beauty,3,30,90,February,2,2025,18-25
87,2025-02-05,CUST059,Female,28,Beauty,2,50,100,February,2,2025,26-35
88,2025-02-05,CUST060,Male,56,Clothing,1,500,500,February,2,2025,46+
89,2025-02-05,CUST061,Female,55,Electronics,4,500,2000,February,2,2025,46+
90,2025-02-05,CUST062,Female,51,Electronics,1,30,30,February,2,2025,46+
91,2025-02-05,CUST015,Female,55,Electronics,1,500,500,February,2,2025,46+
92,2025-02-05,CUST063,Female,51,Electronics,4,30,120,February,2,2025,46+
93,2025-02-05,CUST064,Female,35,Beauty,4,500,2000,February,2,2025,26-35
94,2025-02-05,CUST026,Female,47,Beauty,2,500,1000,February,2,2025,46+
95,2025-02-06,CUST065,Female,32,Clothing,2,30,60,February,2,2025,26-35
96,2025-02-06,CUST013,Female,44,Clothing,2,300,600,February,2,2025,36-45
97,2025-02-06,CUST066,Female,51,Beauty,2,500,1000,February,2,2025,46+
98,2025-02-06,CUST067,Female,55,Beauty,2,50,100,February,2,2025,46+
99,2025-02-07,CUST049,Female,50,Electronics,4,300,1200,February,2,2025,46+
100,2025-02-07,CUST068,Male,41,Electronics,1,30,30,February,2,2025,36-45
101,2025-02-07,CUST018,Male,32,Clothing,2,300,600,February,2,2025,26-35
102,2025-02-07,CUST069,Female,47,Beauty,2,25,50,February,2,2025,46+
103,2025-02-08,CUST033,Female,59,Clothing,1,25,25,February,2,2025,46+
104,2025-02-08,CUST070,Female,34,Beauty,2,500,1000,February,2,2025,26-35
105,2025-02-08,CUST071,Female,22,Electronics,1,500,500,February,2,2025,18-25
106,2025-02-08,CUST072,Female,46,Clothing,1,50,50,February,2,2025,46+
107,2025-02-09,CUST073,Female,21,Clothing,4,300,1200,February,2,2025,18-25
108,2025-02-10,CUST074,Female,27,Beauty,3,25,75,February,2,2025,26-35
109,2025-02-10,CUST063,Female,34,Electronics,4,500,2000,February,2,2025,26-35
110,2025-02-10,CUST075,Male,27,Clothing,3,300,900,February,2,2025,26-35
111,2025-02-11,CUST066,Female,34,Electronics,3,500,1500,February,2,2025,26-35
112,2025-02-11,CUST076,Male,37,Clothing,3,500,1500,February,2,2025,36-45
