transaction_id,date,customer_id,gender,age,product_category,quantity,price_per_unit,total_amount,month,month_number,year,age_group,day,week,week_day
1,2025-01-01,CUST001,Male,34,Beauty,3,50.0,150.0,January,1,2025,26-35,1,1,Wednesday
2,2025-01-01,CUST002,Female,26,Clothing,2,500.0,1000.0,January,1,2025,26-35,1,1,Wednesday
3,2025-01-01,CUST003,Male,50,Electronics,1,30.0,30.0,January,1,2025,46+,1,1,Wednesday
4,2025-01-02,CUST004,Male,37,Clothing,1,500.0,500.0,January,1,2025,36-45,2,1,Thursday
5,2025-01-02,CUST005,Male,30,Beauty,2,50.0,100.0,January,1,2025,26-35,2,1,Thursday
6,2025-01-02,CUST006,Female,45,Beauty,1,30.0,30.0,January,1,2025,36-45,2,1,Thursday
7,2025-01-02,CUST007,Male,46,Clothing,2,25.0,50.0,January,1,2025,46+,2,1,Thursday
8,2025-01-03,CUST008,Male,30,Electronics,4,25.0,100.0,January,1,2025,26-35,3,1,Friday
9,2025-01-04,CUST009,Male,63,Electronics,2,300.0,600.0,January,1,2025,46+,4,1,Saturday
10,2025-01-04,CUST010,Female,52,Clothing,4,50.0,200.0,January,1,2025,46+,4,1,Saturday
11,2025-01-04,CUST011,Male,23,Clothing,2,50.0,100.0,January,1,2025,18-25,4,1,Saturday
12,2025-01-05,CUST009,Male,35,Beauty,3,25.0,75.0,January,1,2025,26-35,5,1,Sunday
13,2025-01-05,CUST012,Male,22,Electronics,3,500.0,1500.0,January,1,2025,18-25,5,1,Sunday
14,2025-01-05,CUST013,Male,64,Clothing,4,30.0,120.0,January,1,2025,46+,5,1,Sunday
15,2025-01-06,CUST014,Female,42,Electronics,4,500.0,2000.0,January,1,2025,36-45,6,2,Monday
16,2025-01-06,CUST015,Male,19,Clothing,3,500.0,1500.0,January,1,2025,18-25,6,2,Monday
17,2025-01-07,CUST016,Female,27,Clothing,4,25.0,100.0,January,1,2025,26-35,7,2,Tuesday
18,2025-01-07,CUST017,Female,47,Electronics,2,25.0,50.0,January,1,2025,46+,7,2,Tuesday
19,2025-01-08,CUST018,Female,62,Clothing,2,25.0,50.0,January,1,2025,46+,8,2,Wednesday
20,2025-01-08,CUST019,Male,22,Clothing,3,300.0,900.0,January,1,2025,18-25,8,2,Wednesday
21,2025-01-09,CUST020,Female,50,Beauty,1,500.0,500.0,January,1,2025,46+,9,2,Thursday
22,2025-01-10,CUST021,Male,18,Clothing,2,50.0,100.0,January,1,2025,18-25,10,2,Friday
23,2025-01-10,CUST022,Female,35,Clothing,4,30.0,120.0,January,1,2025,26-35,10,2,Friday
24,2025-01-11,CUST023,Female,49,Clothing,1,300.0,300.0,January,1,2025,46+,11,2,Saturday
25,2025-01-11,CUST018,Female,64,Beauty,1,50.0,50.0,January,1,2025,46+,11,2,Saturday
26,2025-01-11,CUST024,Female,28,Electronics,2,500.0,1000.0,January,1,2025,26-35,11,2,Saturday
27,2025-01-13,CUST025,Female,38,Beauty,2,25.0,50.0,January,1,2025,36-45,13,3,Monday
28,2025-01-13,CUST026,Female,43,Beauty,1,500.0,500.0,January,1,2025,36-45,13,3,Monday
