Transaction ID,date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,2025-01-01,CUST001,Male,34,Beauty,3,50,150
2,2025-01-01,CUST002,Female,26,Clothing,2,500,1000
3,2025-01-01,CUST003,Male,50,Electronics,1,30,30
4,2025-01-02,CUST004,Male,37,Clothing,1,500,500
5,2025-01-02,CUST005,Male,30,Beauty,2,50,100
6,2025-01-02,CUST006,Female,45,Beauty,1,30,30
7,2025-01-02,CUST007,Male,46,Clothing,2,25,50
8,2025-01-03,CUST008,Male,30,Electronics,4,25,100
9,2025-01-04,CUST009,Male,63,Electronics,2,300,600
10,2025-01-04,CUST010,Female,52,Clothing,4,50,200
11,2025-01-04,CUST011,Male,23,Clothing,2,50,100
12,2025-01-05,CUST012,Male,35,Beauty,3,25,75
13,2025-01-05,CUST013,Male,22,Electronics,3,500,1500
14,2025-01-05,CUST014,Male,64,Clothing,4,30,120
15,2025-01-06,CUST015,Female,42,Electronics,4,500,2000
16,2025-01-06,CUST016,Male,19,Clothing,3,500,1500
17,2025-01-07,CUST017,Female,27,Clothing,4,25,100
18,2025-01-07,CUST018,Female,47,Electronics,2,25,50
19,2025-01-08,CUST019,Female,62,Clothing,2,25,50
20,2025-01-08,CUST020,Male,22,Clothing,3,300,900
21,2025-01-09,CUST021,Female,50,Beauty,1,500,500
22,2025-01-10,CUST022,Male,18,Clothing,2,50,100
23,2025-01-10,CUST023,Female,35,Clothing,4,30,120
24,2025-01-11,CUST024,Female,49,Clothing,1,300,300
25,2025-01-11,CUST025,Female,64,Beauty,1,50,50
26,2025-01-11,CUST026,Female,28,Electronics,2,500,1000
27,2025-01-13,CUST027,Female,38,Beauty,2,25,50
28,2025-01-13,CUST028,Female,43,Beauty,1,500,500
29,2025-01-13,CUST029,Female,42,Electronics,1,30,30
30,2025-01-13,CUST030,Female,39,Beauty,3,300,900
31,2025-01-14,CUST031,Male,44,Electronics,4,300,1200
32,2025-01-14,CUST032,Male,30,Beauty,3,30,90
33,2025-01-14,CUST033,Female,50,Electronics,2,50,100
34,2025-01-14,CUST034,Female,51,Clothing,3,50,150
35,2025-01-15,CUST035,Female,58,Beauty,3,300,900
36,2025-01-15,CUST036,Male,52,Beauty,3,300,900
37,2025-01-15,CUST037,Female,18,Beauty,3,25,75
38,2025-01-16,CUST038,Male,38,Beauty,4,50,200
39,2025-01-16,CUST039,Male,23,Clothing,4,30,120
40,2025-01-17,CUST040,Male,45,Beauty,1,50,50
41,2025-01-17,CUST041,Male,34,Clothing,2,25,50
42,2025-01-17,CUST042,Male,22,Clothing,3,300,900
43,2025-01-17,CUST043,Female,48,Clothing,1,300,300
44,2025-01-19,CUST044,Female,22,Clothing,1,25,25
45,2025-01-20,CUST045,Female,55,Electronics,1,30,30
46,2025-01-20,CUST046,Female,20,Electronics,4,300,1200
47,2025-01-21,CUST047,Female,40,Beauty,3,500,1500
48,2025-01-21,CUST048,Male,54,Electronics,3,300,900
49,2025-01-21,CUST049,Female,54,Electronics,2,500,1000
50,2025-01-22,CUST050,Female,27,Beauty,3,25,75
51,2025-01-22,CUST051,Male,27,Beauty,3,25,75
52,2025-01-23,CUST052,Female,36,Beauty,1,300,300
53,2025-01-23,CUST053,Male,34,Electronics,2,50,100
54,2025-01-23,CUST054,Female,38,Electronics,3,500,1500
55,2025-01-24,CUST055,Male,31,Beauty,4,30,120
56,2025-01-24,CUST056,Female,26,Clothing,3,300,900
57,2025-01-24,CUST057,Female,63,Beauty,1,30,30
58,2025-01-25,CUST058,Male,18,Clothing,4,300,1200
59,2025-01-26,CUST059,Male,62,Clothing,1,50,50
60,2025-01-26,CUST060,Male,30,Beauty,3,50,150
61,2025-01-26,CUST061,Male,21,Beauty,4,50,200
62,2025-01-26,CUST062,Male,18,Beauty,2,50,100
63,2025-01-27,CUST063,Male,57,Electronics,2,25,50
64,2025-01-27,CUST064,Male,49,Clothing,4,25,100
65,2025-01-27,CUST065,Male,51,Electronics,4,500,2000
66,2025-01-28,CUST066,Female,45,Electronics,1,30,30
67,2025-01-28,CUST067,Female,48,Beauty,4,300,1200
68,2025-01-28,CUST068,Male,25,Electronics,1,300,300
69,2025-01-29,CUST069,Female,56,Beauty,3,25,75
